file,diff_fields,deepseek_values,kimi_values,poe_values
Virginia Tech/full/ge_cv.docx,JOURNAL OF LABOR ECONOMICS,"{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}"
Virginia/associate/2023-CV-Nekipelov.docx,JOURNAL OF ECONOMETRICS; QUANTITATIVE ECONOMICS,"{""JOURNAL OF ECONOMETRICS"": ""2"", ""QUANTITATIVE ECONOMICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""QUANTITATIVE ECONOMICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""QUANTITATIVE ECONOMICS"": ""3""}"
Virginia/associate/Carter-Doyle_CV_Aug2020.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2014"", ""years_post_phd"": ""9""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia/associate/MacKay CV.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3""}"
Virginia/associate/cv_colmer.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2""}"
Virginia/full/CV-Korinek.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}"
Virginia/full/CV_Sekhri.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; JOURNAL OF DEVELOPMENT ECONOMICS; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""years_post_phd"": """"}"
Virginia/full/Curriculum-Vitae-Elzinga.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Virginia/full/Eric-Leeper_CV_Jul-2018.docx,JOURNAL OF MONETARY ECONOMICS; JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF MONETARY ECONOMICS"": ""9"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
Virginia/full/Fostel_CV_01_2023.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2""}"
Virginia/full/Friedberg L CV 2022-02.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Virginia/full/HarriganCV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": ""Federal Reserve Bank of New York"", ""promotion_year"": ""1997"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2008"", ""years_post_phd"": ""17""}"
Virginia/full/John-Mclaren_CV_2017.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}"
Virginia/full/Lee Coppock CV February 2025.docx,name,"{""name"": """"}","{""name"": ""Kim Holder""}","{""name"": """"}"
Virginia/full/Maxim-Engers_CV_2023.docx,promotion_university; promotion_year,"{""promotion_university"": """", ""promotion_year"": """"}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1982""}","{""promotion_university"": """", ""promotion_year"": """"}"
Virginia/full/Simon_Anderson_CV_2024.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}"
Virginia/full/Turner-CV-2023.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3""}"
Virginia/full/ciliberto2025.docx,RAND JOURNAL OF ECONOMICS,"{""RAND JOURNAL OF ECONOMICS"": ""2""}","{""RAND JOURNAL OF ECONOMICS"": ""3""}","{""RAND JOURNAL OF ECONOMICS"": ""2""}"
Virginia/full/cosar_cv.docx,name,"{""name"": ""A. Kerem Co\u00b8sar""}","{""name"": ""A. Kerem Co\u015far""}","{""name"": ""A. Kerem Co\u00b8sar""}"
Virginia/full/cv_wincoop.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMICS AND STATISTICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""name"": ""John A. Doe"", ""promotion_university"": ""University of California, Berkeley"", ""promotion_year"": ""2018"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia/full/holtvita_2025_december.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; RAND JOURNAL OF ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""name"": ""Charles Holt"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1983"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""3"", ""name"": ""Charles A. Holt"", ""promotion_university"": ""University of Minnesota"", ""promotion_year"": ""1982"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""9"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""name"": ""Charles A. Holt"", ""promotion_university"": ""University of Minnesota"", ""promotion_year"": ""1982"", ""years_post_phd"": ""5""}"
Virginia/full/miller_cv_sept2025.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Virginia/full/sandipcv.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
Virginia/full/vita_young.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; JOURNAL OF MONETARY ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""8""}"
WUSTL/associate/CV.docx,REVIEW OF ECONOMIC STUDIES; name; promotion_university; promotion_year; years_post_phd,"{""REVIEW OF ECONOMIC STUDIES"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""REVIEW OF ECONOMIC STUDIES"": ""0"", ""name"": ""David A. Fieldhouse"", ""promotion_university"": ""University of Western Ontario"", ""promotion_year"": ""2018"", ""years_post_phd"": ""8""}","{""REVIEW OF ECONOMIC STUDIES"": ""1"", ""name"": """", ""promotion_university"": ""University of Western Ontario"", ""promotion_year"": ""2021"", ""years_post_phd"": ""11""}"
WUSTL/associate/SangMok_cv.docx,years_post_phd,"{""years_post_phd"": ""11""}","{""years_post_phd"": ""11""}","{""years_post_phd"": """"}"
WUSTL/full/CV-PingWang-Dec2025.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
WUSTL/full/CV.docx,AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
WUSTL/full/CV_Gaetano Antinolfi.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""4""}"
WUSTL/full/ISMAEL_MOURIFIE_CV-2024.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; QUANTITATIVE ECONOMICS; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""QUANTITATIVE ECONOMICS"": ""1"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""QUANTITATIVE ECONOMICS"": ""2"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""QUANTITATIVE ECONOMICS"": ""2"", ""years_post_phd"": ""7""}"
WUSTL/full/Manuelli_CV_March_2021.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""promotion_university"": ""University of Wisconsin - Madison"", ""promotion_year"": ""1993"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""promotion_university"": ""Stanford University Graduate School of Business"", ""promotion_year"": ""1991"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""promotion_university"": ""Stanford University"", ""promotion_year"": ""1991"", ""years_post_phd"": ""5""}"
WUSTL/full/Weinstein_CV_Sep_2019.docx,JOURNAL OF ECONOMIC THEORY; THEORETICAL ECONOMICS; promotion_university,"{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""THEORETICAL ECONOMICS"": ""3"", ""promotion_university"": ""Northwestern University""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""THEORETICAL ECONOMICS"": ""2"", ""promotion_university"": ""Northwestern University""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""THEORETICAL ECONOMICS"": ""3"", ""promotion_university"": ""Kellogg School of Management, Northwestern University""}"
WUSTL/full/azariadis.cv.05.2024.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}"
WUSTL/full/cv_2022.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_year"": ""1994"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_year"": ""1990"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_year"": ""1990"", ""years_post_phd"": ""3""}"
WUSTL/full/cv_202601.docx,AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMIC STUDIES; name,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""name"": ""Sam B. Cook""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""name"": ""Francisco J. Buera""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""name"": """"}"
WUSTL/full/cv_July_2022.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""Washington University in St Louis"", ""promotion_year"": ""2012"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2010"", ""years_post_phd"": ""6""}","{""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2010"", ""years_post_phd"": ""6""}"
WUSTL/full/cv_long_mortimer2025.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
WUSTL/full/cv_shin.docx,AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}"
WUSTL/full/cvpublic.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
WUSTL/full/pollak-cv-08-2025.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF POLITICAL ECONOMY; QUARTERLY JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""9"", ""ECONOMETRICA"": ""5"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""6"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""8"", ""ECONOMETRICA"": ""6"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""6"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""ECONOMETRICA"": ""8"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""7"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}"
WUSTL/full/resume.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
WUSTL/full/rogers_cv.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""Washington University in St. Louis"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""Washington University in St. Louis"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""Northwestern University"", ""promotion_year"": ""2010"", ""years_post_phd"": ""4""}"
Washington/associate/Alan Griffith CV May2025.docx,promotion_university,"{""promotion_university"": ""University of Washington""}","{""promotion_university"": ""University of Washington""}","{""promotion_university"": ""University of Washington, Seattle""}"
Washington/associate/CV-FAN-2025.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""6""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""15""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""17""}"
