file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Vanderbilt/full/cv_2024_03_polborn.docx,JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMIC STUDIES; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""University of Illinois, Urbana-Champaign""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""University of Illinois, Urbana\u2013Champaign""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""University of Illinois, Urbana\u2013Champaign""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""University of Illinois, Urbana\u2013Champaign""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""University of Illinois, Urbana\u2013Champaign""}"
Vanderbilt/full/vita0425.docx,JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""14"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Indiana University""}","{""JOURNAL OF ECONOMETRICS"": ""13"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Indiana University, Bloomington""}","{""JOURNAL OF ECONOMETRICS"": ""13"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Indiana University, Bloomington""}","{""JOURNAL OF ECONOMETRICS"": ""8"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Indiana University Bloomington""}","{""JOURNAL OF ECONOMETRICS"": ""14"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""Indiana University, Bloomington""}"
Virginia Tech/associate/Cothren_2018_CV.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}"
Virginia Tech/associate/Lin_vita.docx,promotion_university; promotion_year,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Wayne State University"", ""promotion_year"": ""2009""}","{""promotion_university"": """", ""promotion_year"": """"}","{""promotion_university"": ""Wayne State University"", ""promotion_year"": """"}","{""promotion_university"": """", ""promotion_year"": """"}","{""promotion_university"": """", ""promotion_year"": """"}"
Virginia Tech/full/Ball_2018_CV.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Virginia Tech/full/Haller_2021_CV.docx,ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""name"": ""Hans Haller"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""name"": ""Hans Hermann Haller"", ""promotion_university"": ""Virginia Polytechnic Institute and State University"", ""promotion_year"": ""1990"", ""years_post_phd"": ""12""}","{""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""name"": ""H. HALLER"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""name"": ""Hans Hermann Haller"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia Tech/full/Sarangi CV 2022.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""2002"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Virginia Tech"", ""promotion_year"": ""2015"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia Tech/full/Spanos_2018_CV.docx,ECONOMIC JOURNAL,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMIC JOURNAL"": ""3""}","{""ECONOMIC JOURNAL"": ""0""}","{""ECONOMIC JOURNAL"": ""0""}","{""ECONOMIC JOURNAL"": ""3""}","{""ECONOMIC JOURNAL"": ""3""}"
Virginia Tech/full/ashley_cv_March_19_2025.docx,INTERNATIONAL ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}"
Virginia/associate/Carter-Doyle_CV_Aug2020.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2014"", ""years_post_phd"": ""9""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia/associate/cv_colmer.docx,REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Virginia/full/CV-Korinek.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}"
Virginia/full/CV_Sekhri.docx,JOURNAL OF DEVELOPMENT ECONOMICS; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""years_post_phd"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""years_post_phd"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""years_post_phd"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""years_post_phd"": ""7""}"
Virginia/full/Curriculum-Vitae-Elzinga.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1971"", ""years_post_phd"": ""4""}","{""promotion_university"": """", ""promotion_year"": ""1971"", ""years_post_phd"": ""4""}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1971"", ""years_post_phd"": ""4""}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1974"", ""years_post_phd"": ""7""}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1971"", ""years_post_phd"": ""4""}"
Virginia/full/Eric-Leeper_CV_Jul-2018.docx,JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""6""}","{""JOURNAL OF MONETARY ECONOMICS"": ""8""}","{""JOURNAL OF MONETARY ECONOMICS"": ""8""}","{""JOURNAL OF MONETARY ECONOMICS"": ""9""}","{""JOURNAL OF MONETARY ECONOMICS"": ""9""}"
Virginia/full/Fostel_CV_01_2023.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}"
Virginia/full/HarriganCV.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2008"", ""years_post_phd"": ""17""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""promotion_university"": ""Federal Reserve Bank of New York"", ""promotion_year"": ""2005"", ""years_post_phd"": ""14""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""1996"", ""years_post_phd"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia/full/John-Mclaren_CV_2017.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2""}"
Virginia/full/Maxim-Engers_CV_2023.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2001"", ""years_post_phd"": ""17""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1995"", ""years_post_phd"": ""11""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia/full/Simon_Anderson_CV_2024.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""7"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""7"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}"
Virginia/full/Turner-CV-2023.docx,AMERICAN ECONOMIC REVIEW; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_year"": ""2008"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_year"": ""2003"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_year"": ""2003"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_year"": ""2003"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_year"": ""2003"", ""years_post_phd"": ""6""}"
Virginia/full/ciliberto2025.docx,RAND JOURNAL OF ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""RAND JOURNAL OF ECONOMICS"": ""2""}","{""RAND JOURNAL OF ECONOMICS"": ""3""}","{""RAND JOURNAL OF ECONOMICS"": ""3""}","{""RAND JOURNAL OF ECONOMICS"": ""3""}","{""RAND JOURNAL OF ECONOMICS"": ""3""}"
Virginia/full/cosar_cv.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""A. Kerem Co\u015far""}","{""name"": ""A. Kerem Co\u00b8sar""}","{""name"": ""A. Kerem Co\u015far""}","{""name"": ""A. Kerem Co\u015far""}","{""name"": ""A. Kerem Co\u015far""}"
Virginia/full/cv_wincoop.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""16"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""promotion_university"": ""Boston University"", ""promotion_year"": ""1996"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""9"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""16"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""16"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Federal Reserve Bank of New York"", ""promotion_year"": ""1996"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""8"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""16"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Boston University"", ""promotion_year"": ""1996"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""17"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Virginia/full/holtvita_2025_december.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF PUBLIC ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""9"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1989"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC REVIEW"": ""11"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""University of Minnesota"", ""promotion_year"": ""1982"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""11"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""University of Minnesota"", ""promotion_year"": ""1982"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""11"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1989"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""1983"", ""years_post_phd"": ""6""}"
Virginia/full/miller_cv_sept2025.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Virginia/full/sandipcv.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Virginia/full/vita_young.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2010"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
WUSTL/associate/Babus-CV.docx,ECONOMETRICA; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""1"", ""promotion_year"": ""2023"", ""years_post_phd"": ""15""}","{""ECONOMETRICA"": ""2"", ""promotion_year"": ""2023"", ""years_post_phd"": ""15""}","{""ECONOMETRICA"": ""1"", ""promotion_year"": ""2023"", ""years_post_phd"": ""15""}","{""ECONOMETRICA"": ""2"", ""promotion_year"": ""2017"", ""years_post_phd"": ""9""}","{""ECONOMETRICA"": ""1"", ""promotion_year"": ""2023"", ""years_post_phd"": ""15""}"
WUSTL/associate/SangMok_cv.docx,years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""years_post_phd"": ""11""}","{""years_post_phd"": """"}","{""years_post_phd"": ""11""}","{""years_post_phd"": ""11""}","{""years_post_phd"": ""11""}"
WUSTL/full/CV-PingWang-Dec2025.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Penn State University""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Penn State University""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Pennsylvania State University""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""promotion_university"": ""Penn State University""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Penn State University""}"
WUSTL/full/CV.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Washington University""}","{""promotion_university"": ""Washington University""}","{""promotion_university"": ""Washington University""}","{""promotion_university"": ""Washington University in St. Louis""}","{""promotion_university"": ""Washington University""}"
WUSTL/full/CVGolan10_2022.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Washington University in St. Louis"", ""promotion_year"": ""2012"", ""years_post_phd"": ""10""}","{""promotion_university"": ""Carnegie Mellon University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}"
WUSTL/full/CV_Gaetano Antinolfi.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Washington University in Saint Louis""}","{""promotion_university"": ""Washington University in St. Louis""}","{""promotion_university"": ""Washington University in St. Louis""}","{""promotion_university"": ""Washington University in Saint Louis""}","{""promotion_university"": ""Washington University in St. Louis""}"
WUSTL/full/ISMAEL_MOURIFIE_CV-2024.docx,QUANTITATIVE ECONOMICS; THEORETICAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""QUANTITATIVE ECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""1""}","{""QUANTITATIVE ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0""}","{""QUANTITATIVE ECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0""}","{""QUANTITATIVE ECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0""}","{""QUANTITATIVE ECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0""}"
